# PeekMicrobiome — abundance matrix, taxonomic (relative) abundance in %
# reference database: Human gut [human-gut] — MGnify human-gut v2.0.2
# database file: human-gut.syldb — https://zenodo.org/api/records/21842023/files/human-gut.syldb/content
# database DOI: 10.5281/zenodo.21842023
# database: genomes=4744, k=31, c=200, catalogue_species=4744
# matrix: 624 species x 84 samples
# exported: 2026-08-09T09:26:40.732Z
# every abundance below is relative to the reference database named above and to nothing else: sylph reports the closest genomes that database contains, and reports nothing at all about species it does not contain. A sample from another environment still produces a full, plausible table.
# reference per sample: ERR14098571=Human gut; ERR14098572=Human gut; ERR14098573=Human gut; ERR14098574=Human gut; ERR14098575=Human gut; ERR14098577=Human gut; ERR14098576=Human gut; ERR14098578=Human gut; ERR14098579=Human gut; ERR14098580=Human gut; ERR14098581=Human gut; ERR14098582=Human gut; ERR14098583=Human gut; ERR14098584=Human gut; ERR14098585=Human gut; ERR14098586=Human gut; ERR14098587=Human gut; ERR14098588=Human gut; ERR14098589=Human gut; ERR14098590=Human gut; ERR14098591=Human gut; ERR14098592=Human gut; ERR14098593=Human gut; ERR14098594=Human gut; ERR14098596=Human gut; ERR14098595=Human gut; ERR14098597=Human gut; ERR14098598=Human gut; ERR14098600=Human gut; ERR14098599=Human gut; ERR14098601=Human gut; ERR14098602=Human gut; ERR14098603=Human gut; ERR14098604=Human gut; ERR14098606=Human gut; ERR14098605=Human gut; ERR14098607=Human gut; ERR14098608=Human gut; ERR14098610=Human gut; ERR14098609=Human gut; ERR14098611=Human gut; ERR14098612=Human gut; ERR14098614=Human gut; ERR14098613=Human gut; ERR14098616=Human gut; ERR14098615=Human gut; ERR14098618=Human gut; ERR14098617=Human gut; ERR14098620=Human gut; ERR14098619=Human gut; ERR14098622=Human gut; ERR14098621=Human gut; ERR14098624=Human gut; ERR14098623=Human gut; ERR14098626=Human gut; ERR14098625=Human gut; ERR14098628=Human gut; ERR14098627=Human gut; ERR14098629=Human gut; ERR14098630=Human gut; ERR14098631=Human gut; ERR14098632=Human gut; ERR14098633=Human gut; ERR14098634=Human gut; ERR14098637=Human gut; ERR14098636=Human gut; ERR14098638=Human gut; ERR14098639=Human gut; ERR14098640=Human gut; ERR14098641=Human gut; ERR14098642=Human gut; ERR14098643=Human gut; ERR14098644=Human gut; ERR14098645=Human gut; ERR14098646=Human gut; ERR14098647=Human gut; ERR14098649=Human gut; ERR14098648=Human gut; ERR14098651=Human gut; ERR14098650=Human gut; ERR14098652=Human gut; ERR14098653=Human gut; ERR14098654=Human gut; ERR14098655=Human gut
species	genome	ERR14098571	ERR14098572	ERR14098573	ERR14098574	ERR14098575	ERR14098577	ERR14098576	ERR14098578	ERR14098579	ERR14098580	ERR14098581	ERR14098582	ERR14098583	ERR14098584	ERR14098585	ERR14098586	ERR14098587	ERR14098588	ERR14098589	ERR14098590	ERR14098591	ERR14098592	ERR14098593	ERR14098594	ERR14098596	ERR14098595	ERR14098597	ERR14098598	ERR14098600	ERR14098599	ERR14098601	ERR14098602	ERR14098603	ERR14098604	ERR14098606	ERR14098605	ERR14098607	ERR14098608	ERR14098610	ERR14098609	ERR14098611	ERR14098612	ERR14098614	ERR14098613	ERR14098616	ERR14098615	ERR14098618	ERR14098617	ERR14098620	ERR14098619	ERR14098622	ERR14098621	ERR14098624	ERR14098623	ERR14098626	ERR14098625	ERR14098628	ERR14098627	ERR14098629	ERR14098630	ERR14098631	ERR14098632	ERR14098633	ERR14098634	ERR14098637	ERR14098636	ERR14098638	ERR14098639	ERR14098640	ERR14098641	ERR14098642	ERR14098643	ERR14098644	ERR14098645	ERR14098646	ERR14098647	ERR14098649	ERR14098648	ERR14098651	ERR14098650	ERR14098652	ERR14098653	ERR14098654	ERR14098655
CAG-307 sp001916215	MGYG000004600.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2147	1.1130	1.1953	1.2703	1.5579	1.4523	1.1518	1.1608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0694	0.0418	0.0304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Slackia_A isoflavoniconvertens	MGYG000002509.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3142	1.2249	1.3746	1.1617	1.2965	1.5070	1.3522	1.3577	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5205	1.3437	1.5122	0.1415	0.1562	0.2036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-217 sp000436335	MGYG000001029.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1465	1.2794	1.2070	1.0756	1.4858	1.4988	1.2797	1.2001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4412	0.4726	0.4999	0.4616	0.6251	0.6508	0.4995	0.5244	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1704	1.1708	1.1599	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3553	0.3243	0.3354	0.0000	0.0000	0.0000
Bacteroides salyersiae	MGYG000001433.fna	1.0417	1.0539	1.0201	1.0426	1.4568	1.4960	1.0666	0.9817	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0125	1.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Mediterraneibacter torques	MGYG000001374.fna	1.0106	0.9961	1.0336	1.0469	1.2639	1.4744	1.0448	1.0116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5225	0.4565	0.5596	0.4284	0.0000	0.0000	0.4004	0.4270	0.4021	0.4202	0.3575	0.4085	0.5080	0.0000	0.3270	0.3724	0.9812	1.0262	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2909	0.2750	0.3107	0.2254	0.2236	0.1864
CAG-302 sp001916775	MGYG000004117.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0916	1.2624	1.3153	1.1950	1.4743	1.1883	1.1256	1.1862	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2634	1.1095	1.1364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-273 sp003534295	MGYG000004155.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2291	1.2246	1.3001	1.1933	1.4564	1.3671	1.3134	1.2444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4294	1.4499	1.2894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-354 sp001915925	MGYG000001256.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3386	0.0000	0.4093	0.3764	0.0000	0.0000	0.4201	0.3393	1.2477	1.2352	1.3694	1.3001	1.4396	1.4271	1.3572	1.2116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2336	0.3187	0.3385	1.2863	1.2433	1.3682	0.0000	0.0000	0.0000	0.1580	0.1451	0.1698
Mediterraneibacter faecis	MGYG000000249.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9715	1.0711	1.0649	1.0869	1.4345	1.3496	1.0449	1.0091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4745	0.4636	0.4870	0.4195	0.6561	0.6035	0.4225	0.4520	1.0125	0.9867	1.1078	0.8419	1.3024	1.1789	1.0190	0.8634	0.5270	0.5371	0.5058	0.5531	0.6657	0.0000	0.4666	0.4587	0.0000	0.0000	1.1025	1.1417	1.0768	0.1973	0.2124	0.2352	0.0000	0.0000	0.0000	0.3157	0.3443	0.3032	0.9152	0.9315	0.8816	0.4248	0.3745	0.4171
Alistipes sp000434235	MGYG000004006.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9437	0.9342	0.9199	0.8174	1.4304	1.1770	0.9260	0.8955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Alistipes shahii	MGYG000000003.fna	0.7097	0.7087	0.7398	0.6322	1.0875	1.2138	0.6242	0.6052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7656	0.7700	0.6993	0.7046	1.0674	1.3030	0.7948	0.7089	0.8995	0.9128	0.8724	0.8481	1.4226	1.2298	0.9370	0.8623	0.3536	0.3365	0.2992	0.3362	0.4181	0.4653	0.3325	0.3688	0.7074	0.6739	0.6176	0.7185	0.9865	0.8551	0.7317	0.6311	0.3730	0.3630	0.4365	0.4181	0.6837	0.4474	0.3888	0.3990	0.4298	0.4154	0.3473	0.3414	0.3940	0.5344	0.4305	0.3637	0.5893	0.5624	0.0000	0.0000	0.0000	0.7035	0.6463	0.7187	0.2790	0.2577	0.2636	0.6171	0.6951	0.6211	0.2737	0.2679	0.2763	0.2825	0.2754	0.3181
Dysosmobacter sp001916835	MGYG000002057.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5179	0.4844	0.4229	0.4047	0.0000	0.0000	0.4302	0.4826	0.7888	0.7905	0.7615	0.6683	1.4219	0.9186	0.7436	0.7401	0.4655	0.3926	0.3827	0.4859	0.4637	0.6070	0.4400	0.4202	0.3457	0.3886	0.3017	0.4199	0.0000	0.4781	0.3595	0.3591	0.0000	0.3043	0.0000	0.2860	0.0000	0.0000	0.0000	0.3046	0.4810	0.4861	0.4552	0.4392	0.5880	0.5588	0.4438	0.5140	0.0000	0.0000	0.0000	0.0000	0.0000	0.2928	0.2933	0.3343	0.3392	0.3281	0.3701	0.2478	0.2871	0.2577	0.1269	0.1771	0.1916	0.3566	0.2776	0.2981
Bifidobacterium adolescentis	MGYG000002395.fna	0.0000	0.1885	0.0000	0.0000	0.0000	0.0000	0.2154	0.0000	1.1969	1.1940	1.2074	1.1134	1.3755	1.3811	1.1674	1.1815	0.8487	0.8387	0.8338	0.8737	1.0563	1.2346	0.7759	0.7944	0.2247	0.2492	0.2559	0.1695	0.0000	0.0000	0.2456	0.2416	0.2373	0.2543	0.2001	0.2731	0.0000	0.0000	0.2798	0.1865	0.3953	0.3882	0.4266	0.3409	0.4771	0.5267	0.4361	0.4129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1471	0.0810	1.3155	1.3085	1.4062	0.8690	0.9161	1.0008	0.0795	0.1111	0.0780	0.2913	0.2951	0.3021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0487
Bifidobacterium pseudocatenulatum	MGYG000003683.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0648	1.1741	1.0565	1.0578	1.3927	1.2299	1.0495	1.1206	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1383	1.1433	1.3145	0.0000	0.0000	0.0000
Eubacterium_F sp003491505	MGYG000000209.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5511	0.6300	0.6064	0.6422	1.2299	0.0000	0.5951	0.5782	1.0640	0.9720	0.9231	1.0428	1.3723	1.1199	0.9814	0.9304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3616	0.3069	0.4269	0.3534	0.0000	0.0000	0.3410	0.3102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4524	0.5294	0.5063	0.0876	0.0893	0.1361	0.1330	0.0851	0.1412	0.1798	0.1918	0.2471	0.0000	0.0000	0.0000
Parabacteroides distasonis	MGYG000002438.fna	0.8342	0.8695	0.8771	0.8400	1.2528	1.2186	0.8328	0.8736	0.3809	0.2970	0.3211	0.3532	0.0000	0.0000	0.3011	0.3247	0.0000	0.2782	0.3169	0.3516	0.0000	0.0000	0.3524	0.3167	0.5573	0.4751	0.4600	0.5209	0.8700	0.7655	0.5268	0.5072	0.3293	0.3095	0.2930	0.3328	0.0000	0.0000	0.3061	0.3288	0.3945	0.4565	0.4109	0.4022	0.0000	0.5609	0.3624	0.3894	1.1397	1.1036	1.1391	1.0757	1.3078	1.3713	1.0942	1.0828	0.5087	0.5361	0.5419	0.5527	0.7056	0.8271	0.5164	0.5037	0.8254	0.7978	0.1834	0.1649	0.1860	0.1641	0.1726	0.1784	0.1836	0.1623	0.2118	0.2624	0.2356	0.2753	1.0976	1.1612	1.1068	0.4164	0.3885	0.3631
Blautia_A massiliensis	MGYG000000142.fna	0.6908	0.6590	0.6848	0.7235	1.0817	1.2409	0.6795	0.6348	0.8307	0.8053	0.8146	0.8341	1.0415	1.0713	0.7854	0.8434	0.3785	0.4404	0.3474	0.4261	0.0000	0.0000	0.3568	0.3729	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4070	0.4723	0.5146	0.3807	0.0000	0.5438	0.4186	0.3782	1.0451	0.9610	0.9858	0.8561	1.3646	1.1909	0.9142	0.8729	0.4625	0.4800	0.4307	0.5047	0.6848	0.0000	0.4543	0.4381	0.6049	0.6361	0.7923	0.7612	0.8173	0.2900	0.3251	0.3076	0.0000	0.0000	0.0000	0.3067	0.3073	0.2648	1.0304	0.9843	0.8936	0.3323	0.3378	0.3157
UMGS1375 sp900066615	MGYG000000140.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9072	1.0135	0.9316	0.9871	1.3013	1.3631	0.9802	0.9414	0.6134	0.6128	0.6076	0.6235	1.1228	1.2056	0.6399	0.6281	0.0000	0.2633	0.2756	0.3007	0.0000	0.0000	0.2892	0.3134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8485	0.7787	0.8432	0.8109	1.1655	1.0901	0.8009	0.7797	0.5128	0.4989	0.4858	0.5500	0.7505	0.7032	0.5219	0.4865	0.0000	0.0000	0.9864	0.9795	0.9762	0.5850	0.5785	0.5697	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8046	0.7603	0.7685	0.3770	0.3321	0.3682
Clostridium_Q sp003024715	MGYG000002445.fna	0.8902	0.9058	0.9740	0.9387	1.3468	1.3425	0.9323	0.8449	0.3676	0.3900	0.4051	0.4672	0.0000	0.0000	0.3420	0.3541	0.4063	0.3309	0.3442	0.4089	0.0000	0.0000	0.3900	0.3683	0.3715	0.4101	0.3377	0.3643	0.0000	0.0000	0.3550	0.3193	0.2938	0.2659	0.2704	0.2932	0.0000	0.0000	0.2643	0.2924	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3018	0.3125	0.7222	0.7419	0.7856	0.6771	0.9202	0.9665	0.6390	0.7267	0.5732	0.5858	0.5362	0.5353	0.7619	0.8142	0.5437	0.5907	0.8663	0.8528	0.2693	0.2794	0.2814	0.2575	0.2208	0.2203	0.1670	0.1576	0.1713	0.1826	0.2247	0.2030	0.5957	0.5852	0.6332	0.4381	0.4626	0.4962
CAG-170 sp002404795	MGYG000000651.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5629	0.5954	0.6089	0.5646	1.0763	0.7072	0.5808	0.5846	1.1400	1.0959	0.9150	1.0495	1.1811	1.2133	0.9988	1.0836	0.4431	0.4481	0.4151	0.4336	0.7558	0.6299	0.4212	0.4277	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1442	1.1810	1.3464	0.3260	0.3999	0.3906	0.0000	0.0000	0.0000	0.0290	0.0459	0.0616
Phocaeicola sp900546095	MGYG000002622.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6357	0.6012	0.5742	0.6207	0.9860	1.3426	0.5673	0.5672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4616	0.4631	0.4689	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-127 sp900319515	MGYG000000190.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0087	0.9886	1.0786	0.9220	1.2708	1.3421	0.9900	1.0219	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9441	1.0565	0.9586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lachnospira sp000437735	MGYG000000562.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.9331	0.9022	1.0003	1.2391	1.3349	0.9062	0.9499	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3645	0.3183	0.3629	0.3282	0.0000	0.4258	0.3288	0.3650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8677	0.8704	0.8535	0.0000	0.0491	0.0000	0.0772	0.0791	0.0616	0.1983	0.1917	0.1753	0.0000	0.0000	0.0000
Barnesiella intestinihominis	MGYG000000144.fna	0.3871	0.3915	0.3334	0.3539	0.0000	0.0000	0.3387	0.3988	0.5591	0.5938	0.6236	0.5926	0.9375	0.8749	0.6020	0.6160	0.7326	0.7500	0.7452	0.7912	1.0247	1.3271	0.7527	0.7461	0.4675	0.4912	0.4417	0.4494	1.0455	0.6703	0.4582	0.4841	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5249	0.5890	0.5927	0.5399	0.7803	0.6660	0.5116	0.4792	0.4935	0.4607	0.5035	0.4831	0.7638	0.7561	0.4766	0.4609	0.4780	0.4848	0.4837	0.5407	0.7236	0.7670	0.5072	0.4378	0.2026	0.2001	0.4835	0.4903	0.4700	0.6966	0.7365	0.6278	0.0000	0.0000	0.0000	0.3862	0.3966	0.4629	0.3788	0.3594	0.3567	0.3976	0.4003	0.3355
SFEL01 sp004557245	MGYG000004245.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7997	0.9089	0.8481	0.8778	1.3234	1.0702	0.8456	0.9333	0.3619	0.4136	0.3877	0.4238	0.5686	0.7221	0.3445	0.4212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2864	0.2928	0.2836	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Dorea_A longicatena	MGYG000000038.fna	0.4830	0.4896	0.4655	0.5775	0.0000	0.0000	0.5203	0.4924	0.8274	0.8406	0.8009	0.8712	1.1647	1.3214	0.8450	0.8685	0.4982	0.5081	0.4921	0.5679	0.8879	1.1385	0.4810	0.5542	0.2918	0.3435	0.2586	0.3528	0.0000	0.0000	0.2800	0.2677	0.3086	0.3336	0.3081	0.2809	0.0000	0.0000	0.2674	0.2563	0.6055	0.6241	0.6733	0.5970	0.9633	0.8410	0.6066	0.5852	0.9638	0.9057	1.0006	0.8717	1.2162	1.2106	0.9433	0.8948	0.8116	0.7102	0.7321	0.7719	1.0168	0.9575	0.7262	0.8189	0.3364	0.2857	0.8460	0.8512	0.7921	0.4665	0.4747	0.4552	0.1999	0.2106	0.1933	0.5046	0.4954	0.5568	0.8363	0.8577	0.8498	0.6774	0.7065	0.6866
UBA1417 sp003531055	MGYG000003656.fna	0.9325	0.8941	0.9167	0.8426	1.3191	1.2891	0.9165	0.8183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5516	0.5191	0.4734	0.5493	0.0000	0.0000	0.4987	0.5042	0.3056	0.2334	0.2393	0.2624	0.0000	0.0000	0.2120	0.2895	0.2675	0.2918	0.2722	0.2598	0.0000	0.0000	0.2446	0.2850	0.3433	0.3275	0.3906	0.3403	0.0000	0.0000	0.3961	0.3283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9135	0.8855	0.0000	0.0000	0.0000	0.2991	0.3639	0.3052	0.1489	0.1469	0.1642	0.2050	0.2604	0.2699	0.0000	0.0000	0.0000	0.1728	0.1716	0.1147
